Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Abstaylor,chem,2614.29555601,901754
2,Abstaylor,chem,2560.06396901,908132
3,Abstaylor,chem,2557.40506201,907452
4,Abstaylor,chem,2551.06318901,902650
5,Abstaylor,chem,2761.76381701,905536
1,Abstaylor,chem-1,2719.63427401,901754
2,Abstaylor,chem-1,2762.00076901,908132
3,Abstaylor,chem-1,2755.79594801,907452
4,Abstaylor,chem-1,2743.40274801,902650
5,Abstaylor,chem-1,2739.22617401,905536
1,Abstaylor,chembis,1395.48815801,484906
2,Abstaylor,chembis,1380.70721501,479506
3,Abstaylor,chembis,1382.50534601,479978
4,Abstaylor,chembis,1375.38829501,479506
5,Abstaylor,chembis,1301.19003501,479978
1,Abstaylor,ex6_1_3,93.3325470001,14698
2,Abstaylor,ex6_1_3,106.667352001,15780
3,Abstaylor,ex6_1_3,97.5414750001,15564
4,Abstaylor,ex6_1_3,110.437025001,18186
5,Abstaylor,ex6_1_3,97.5367370001,14890
1,Abstaylor,ex6_2_10,621.218501001,330090
2,Abstaylor,ex6_2_10,622.891965001,330090
3,Abstaylor,ex6_2_10,620.287637001,330090
4,Abstaylor,ex6_2_10,619.186946001,330090
5,Abstaylor,ex6_2_10,617.260057001,330088
1,Abstaylor,ex8_5_1bis,9.13406900001,3470
2,Abstaylor,ex8_5_1bis,10.3974380001,3974
3,Abstaylor,ex8_5_1bis,10.2102500001,3848
4,Abstaylor,ex8_5_1bis,10.7143820001,4036
5,Abstaylor,ex8_5_1bis,10.1964780001,3932
1,Abstaylor,sambal,3263.82893201,521884
2,Abstaylor,sambal,3166.28689501,507884
3,Abstaylor,sambal,3229.48984101,515918
4,Abstaylor,sambal,3250.25817801,521884
5,Abstaylor,sambal,3218.42284801,511984
1,Abstaylor,ex6_2_6,72.0012250001,60318
2,Abstaylor,ex6_2_6,71.8906930001,60246
3,Abstaylor,ex6_2_6,72.2861700001,60128
4,Abstaylor,ex6_2_6,71.4717840001,60444
5,Abstaylor,ex6_2_6,72.1194260001,60392
1,Abstaylor,ex6_2_8,35.2438890001,31930
2,Abstaylor,ex6_2_8,35.2722490001,31810
3,Abstaylor,ex6_2_8,35.2335470001,31686
4,Abstaylor,ex6_2_8,35.1129250001,31866
5,Abstaylor,ex6_2_8,34.6137840001,31866
1,Abstaylor,ex6_2_9,28.6231890001,21620
2,Abstaylor,ex6_2_9,28.9230680001,21620
3,Abstaylor,ex6_2_9,28.7478280001,21620
4,Abstaylor,ex6_2_9,28.4042360001,21432
5,Abstaylor,ex6_2_9,28.3174770001,21432
1,Abstaylor,ex6_2_12,9.24797200001,7728
2,Abstaylor,ex6_2_12,9.20002900001,7728
3,Abstaylor,ex6_2_12,9.13786700001,7728
4,Abstaylor,ex6_2_12,9.26838000001,7728
5,Abstaylor,ex6_2_12,9.15155200001,7728
1,Abstaylor,ex8_4_4bis,103.658230001,78334
2,Abstaylor,ex8_4_4bis,103.771673001,77624
3,Abstaylor,ex8_4_4bis,99.8954270001,75280
4,Abstaylor,ex8_4_4bis,102.610255001,76608
5,Abstaylor,ex8_4_4bis,102.860446001,77722
1,Abstaylor,ex14_2_7,40.2897830001,9228
2,Abstaylor,ex14_2_7,46.7540490001,10990
3,Abstaylor,ex14_2_7,52.6213290001,12160
4,Abstaylor,ex14_2_7,42.2865050001,9686
5,Abstaylor,ex14_2_7,52.0948960001,12126
1,Abstaylor,ex6_1_3bis,17.0532850001,11170
2,Abstaylor,ex6_1_3bis,16.8954930001,11170
3,Abstaylor,ex6_1_3bis,16.8252090001,11170
4,Abstaylor,ex6_1_3bis,16.9857690001,11170
5,Abstaylor,ex6_1_3bis,16.7417240001,11170
1,Abstaylor,ex2_1_9,12.1418710001,5116
2,Abstaylor,ex2_1_9,12.4472430001,5176
3,Abstaylor,ex2_1_9,11.8571510001,5048
4,Abstaylor,ex2_1_9,12.4214110001,5284
5,Abstaylor,ex2_1_9,12.1541640001,5170
1,Abstaylor,himmel16,30.5198270001,4646
2,Abstaylor,himmel16,34.5967460001,5170
3,Abstaylor,himmel16,32.5570020001,5182
4,Abstaylor,himmel16,28.6776730001,4174
5,Abstaylor,himmel16,29.6975960001,4358
1,Abstaylor,ex2_1_7,16.3141990001,2410
2,Abstaylor,ex2_1_7,16.4574780001,2422
3,Abstaylor,ex2_1_7,16.3835120001,2430
4,Abstaylor,ex2_1_7,17.6222200001,2590
5,Abstaylor,ex2_1_7,15.9506990001,2396
1,Abstaylor,ex2_1_8,15.5206290001,1620
2,Abstaylor,ex2_1_8,15.3130880001,1590
3,Abstaylor,ex2_1_8,15.3045880001,1666
4,Abstaylor,ex2_1_8,16.6381170001,1742
5,Abstaylor,ex2_1_8,15.5971820001,1684
1,Abstaylor,launch,6.74084200001,308
2,Abstaylor,launch,8.64265900001,492
3,Abstaylor,launch,6.38655900001,232
4,Abstaylor,launch,6.08797600001,248
5,Abstaylor,launch,32.4404440001,2936
1,Abstaylor,"hs088
",74.1323010001,1304
2,Abstaylor,"hs088
",78.1838720001,1330
3,Abstaylor,"hs088
",76.4905470001,1352
4,Abstaylor,"hs088
",78.2868620001,1330
5,Abstaylor,"hs088
",76.0343080001,1318
1,Abstaylor,"hs093
",612.574716001,398344
2,Abstaylor,"hs093
",604.045292001,387916
3,Abstaylor,"hs093
",676.864222001,455676
4,Abstaylor,"hs093
",671.797409001,455674
5,Abstaylor,"hs093
",616.445272001,398360
1,Abstaylor,"hs102
",2720.29835301,919872
2,Abstaylor,"hs102
",2630.57653801,892810
3,Abstaylor,"hs102
",2696.84415801,886854
4,Abstaylor,"hs102
",2640.43676901,881446
5,Abstaylor,"hs102
",2646.01644501,894708
1,Abstaylor,"hs103
",821.721122001,257948
2,Abstaylor,"hs103
",780.083425001,243890
3,Abstaylor,"hs103
",844.152485001,248038
4,Abstaylor,"hs103
",871.794954001,257598
5,Abstaylor,"hs103
",888.172067001,270708
1,Abstaylor,"hs108
",173.064264001,36706
2,Abstaylor,"hs108
",146.763195001,35910
3,Abstaylor,"hs108
",148.369299001,37964
4,Abstaylor,"hs108
",146.022608001,38452
5,Abstaylor,"hs108
",146.727834001,33690
1,Abstaylor,"hs113
",14.6116000001,3038
2,Abstaylor,"hs113
",14.6704160001,3170
3,Abstaylor,"hs113
",14.0857250001,2944
4,Abstaylor,"hs113
",14.0580910001,3000
5,Abstaylor,"hs113
",13.6969800001,2914
1,Abstaylor,"dualc5
",117.804451001,53436
2,Abstaylor,"dualc5
",120.872214001,54684
3,Abstaylor,"dualc5
",121.351080001,54390
4,Abstaylor,"dualc5
",118.482048001,53340
5,Abstaylor,"dualc5
",119.051234001,54224
1,Abstaylor,"dualc8
",483.014168001,190728
2,Abstaylor,"dualc8
",475.893985001,188766
3,Abstaylor,"dualc8
",481.152200001,188522
4,Abstaylor,"dualc8
",486.184358001,190650
5,Abstaylor,"dualc8
",477.451607001,187112
1,Abstaylor,"mistake
",1404.50700201,375524
2,Abstaylor,"mistake
",1405.66513301,382088
3,Abstaylor,"mistake
",1381.57156601,382636
4,Abstaylor,"mistake
",1471.91442401,409790
5,Abstaylor,"mistake
",1484.13601901,386114
1,Abstaylor,"odfits
",47.1691530001,17762
2,Abstaylor,"odfits
",46.8949680001,17852
3,Abstaylor,"odfits
",47.2593700001,17704
4,Abstaylor,"odfits
",46.7503910001,17730
5,Abstaylor,"odfits
",46.8500860001,17748
1,Abstaylor,ex2_1_9bis,154.566024001,74894
2,Abstaylor,ex2_1_9bis,153.050506001,74338
3,Abstaylor,ex2_1_9bis,158.676335001,77556
4,Abstaylor,ex2_1_9bis,153.817292001,74772
5,Abstaylor,ex2_1_9bis,154.209068001,75034
