Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Hybrid-sa-pso50-5it,chem,4675.40146901,901614
2,Hybrid-sa-pso50-5it,chem,4668.58028401,910952
3,Hybrid-sa-pso50-5it,chem,4795.04010801,923156
4,Hybrid-sa-pso50-5it,chem,4840.36573801,904572
5,Hybrid-sa-pso50-5it,chem,4771.82610401,927360
1,Hybrid-sa-pso50-5it,chem-1,4674.86999901,901614
2,Hybrid-sa-pso50-5it,chem-1,4694.27047101,910952
3,Hybrid-sa-pso50-5it,chem-1,4759.36106301,923156
4,Hybrid-sa-pso50-5it,chem-1,4729.58248701,904572
5,Hybrid-sa-pso50-5it,chem-1,5080.08999501,927360
1,Hybrid-sa-pso50-5it,chembis,2527.59925301,485100
2,Hybrid-sa-pso50-5it,chembis,2536.49275201,482650
3,Hybrid-sa-pso50-5it,chembis,2527.12359801,482630
4,Hybrid-sa-pso50-5it,chembis,2537.48909701,482650
5,Hybrid-sa-pso50-5it,chembis,2535.85129701,482630
1,Hybrid-sa-pso50-5it,ex6_1_3,178.678685001,15682
2,Hybrid-sa-pso50-5it,ex6_1_3,187.009588001,16278
3,Hybrid-sa-pso50-5it,ex6_1_3,184.498606001,16272
4,Hybrid-sa-pso50-5it,ex6_1_3,181.527851001,16190
5,Hybrid-sa-pso50-5it,ex6_1_3,179.138870001,16174
1,Hybrid-sa-pso50-5it,ex6_2_10,1075.45276701,330794
2,Hybrid-sa-pso50-5it,ex6_2_10,1083.48734301,330794
3,Hybrid-sa-pso50-5it,ex6_2_10,1072.53834101,330794
4,Hybrid-sa-pso50-5it,ex6_2_10,1073.28114401,330794
5,Hybrid-sa-pso50-5it,ex6_2_10,1068.78738801,330794
1,Hybrid-sa-pso50-5it,ex8_5_1bis,28.7813330001,4778
2,Hybrid-sa-pso50-5it,ex8_5_1bis,27.4358050001,4538
3,Hybrid-sa-pso50-5it,ex8_5_1bis,26.2072380001,4314
4,Hybrid-sa-pso50-5it,ex8_5_1bis,24.6961600001,4104
5,Hybrid-sa-pso50-5it,ex8_5_1bis,24.6288130001,4058
1,Hybrid-sa-pso50-5it,sambal,5302.68341401,499714
2,Hybrid-sa-pso50-5it,sambal,5376.11203801,501202
3,Hybrid-sa-pso50-5it,sambal,5531.90940001,522574
4,Hybrid-sa-pso50-5it,sambal,5210.15283001,499714
5,Hybrid-sa-pso50-5it,sambal,5256.00535901,523668
1,Hybrid-sa-pso50-5it,ex6_2_6,108.997101001,59982
2,Hybrid-sa-pso50-5it,ex6_2_6,109.868746001,60628
3,Hybrid-sa-pso50-5it,ex6_2_6,107.822153001,60208
4,Hybrid-sa-pso50-5it,ex6_2_6,108.480256001,60246
5,Hybrid-sa-pso50-5it,ex6_2_6,108.831662001,60246
1,Hybrid-sa-pso50-5it,ex6_2_8,53.7920250001,31730
2,Hybrid-sa-pso50-5it,ex6_2_8,53.7326790001,31730
3,Hybrid-sa-pso50-5it,ex6_2_8,53.9608780001,31734
4,Hybrid-sa-pso50-5it,ex6_2_8,54.2493290001,31824
5,Hybrid-sa-pso50-5it,ex6_2_8,53.5948260001,31820
1,Hybrid-sa-pso50-5it,ex6_2_9,46.9154000001,21534
2,Hybrid-sa-pso50-5it,ex6_2_9,46.9104460001,21534
3,Hybrid-sa-pso50-5it,ex6_2_9,46.6807380001,21534
4,Hybrid-sa-pso50-5it,ex6_2_9,47.1799050001,21464
5,Hybrid-sa-pso50-5it,ex6_2_9,46.7833660001,21464
1,Hybrid-sa-pso50-5it,ex6_2_12,15.4931490001,7760
2,Hybrid-sa-pso50-5it,ex6_2_12,15.2788260001,7760
3,Hybrid-sa-pso50-5it,ex6_2_12,15.3598020001,7760
4,Hybrid-sa-pso50-5it,ex6_2_12,15.1877210001,7780
5,Hybrid-sa-pso50-5it,ex6_2_12,15.2289590001,7780
1,Hybrid-sa-pso50-5it,ex8_4_4bis,170.105986001,80420
2,Hybrid-sa-pso50-5it,ex8_4_4bis,162.749747001,75886
3,Hybrid-sa-pso50-5it,ex8_4_4bis,165.980161001,78102
4,Hybrid-sa-pso50-5it,ex8_4_4bis,169.053561001,78498
5,Hybrid-sa-pso50-5it,ex8_4_4bis,162.257806001,75626
1,Hybrid-sa-pso50-5it,ex14_2_7,202.926624001,11652
2,Hybrid-sa-pso50-5it,ex14_2_7,191.076170001,11242
3,Hybrid-sa-pso50-5it,ex14_2_7,234.342515001,13476
4,Hybrid-sa-pso50-5it,ex14_2_7,208.969715001,12192
5,Hybrid-sa-pso50-5it,ex14_2_7,209.953460001,11996
1,Hybrid-sa-pso50-5it,ex6_1_3bis,28.7115950001,11028
2,Hybrid-sa-pso50-5it,ex6_1_3bis,28.7883050001,11028
3,Hybrid-sa-pso50-5it,ex6_1_3bis,31.2829440001,11028
4,Hybrid-sa-pso50-5it,ex6_1_3bis,30.9902530001,11028
5,Hybrid-sa-pso50-5it,ex6_1_3bis,31.0658340001,11028
1,Hybrid-sa-pso50-5it,ex2_1_9,18.3781760001,5116
2,Hybrid-sa-pso50-5it,ex2_1_9,18.6735160001,5140
3,Hybrid-sa-pso50-5it,ex2_1_9,19.3079280001,5358
4,Hybrid-sa-pso50-5it,ex2_1_9,18.3591910001,5070
5,Hybrid-sa-pso50-5it,ex2_1_9,18.6654270001,5160
1,Hybrid-sa-pso50-5it,himmel16,47.0075260001,3548
2,Hybrid-sa-pso50-5it,himmel16,42.1485190001,3246
3,Hybrid-sa-pso50-5it,himmel16,32.5989890001,2486
4,Hybrid-sa-pso50-5it,himmel16,48.8352130001,3690
5,Hybrid-sa-pso50-5it,himmel16,30.0692160001,2206
1,Hybrid-sa-pso50-5it,ex2_1_7,32.6516320001,2446
2,Hybrid-sa-pso50-5it,ex2_1_7,32.2811410001,2464
3,Hybrid-sa-pso50-5it,ex2_1_7,33.2774900001,2546
4,Hybrid-sa-pso50-5it,ex2_1_7,35.0545080001,2710
5,Hybrid-sa-pso50-5it,ex2_1_7,32.1569890001,2434
1,Hybrid-sa-pso50-5it,ex2_1_8,24.0957720001,1694
2,Hybrid-sa-pso50-5it,ex2_1_8,23.1062140001,1590
3,Hybrid-sa-pso50-5it,ex2_1_8,21.8522590001,1536
4,Hybrid-sa-pso50-5it,ex2_1_8,23.6643090001,1668
5,Hybrid-sa-pso50-5it,ex2_1_8,23.2179660001,1654
1,Hybrid-sa-pso50-5it,launch,222.198003001,11712
2,Hybrid-sa-pso50-5it,launch,150.021926001,7728
3,Hybrid-sa-pso50-5it,launch,198.107224001,11124
4,Hybrid-sa-pso50-5it,launch,14.4867910001,358
5,Hybrid-sa-pso50-5it,launch,5.56462600001,110
1,Hybrid-sa-pso50-5it,"hs088
",527.945836001,1126
2,Hybrid-sa-pso50-5it,"hs088
",498.400204001,1046
3,Hybrid-sa-pso50-5it,"hs088
",473.972973001,1092
4,Hybrid-sa-pso50-5it,"hs088
",466.592970001,1090
