Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Hybrid-sa-pso50,chem,5180.89579201,904086
2,Hybrid-sa-pso50,chem,5210.23481401,907704
3,Hybrid-sa-pso50,chem,5617.45199001,904294
4,Hybrid-sa-pso50,chem,5554.16098301,901912
5,Hybrid-sa-pso50,chem,5586.63522701,909464
1,Hybrid-sa-pso50,chem-1,5489.06650101,904086
2,Hybrid-sa-pso50,chem-1,5223.55274701,907704
3,Hybrid-sa-pso50,chem-1,5185.45640401,904294
4,Hybrid-sa-pso50,chem-1,5189.57315301,901912
5,Hybrid-sa-pso50,chem-1,5217.73351101,909464
1,Hybrid-sa-pso50,chembis,2690.18826001,482600
2,Hybrid-sa-pso50,chembis,2754.41912101,493454
3,Hybrid-sa-pso50,chembis,2703.55671001,486134
4,Hybrid-sa-pso50,chembis,2753.48881001,494264
5,Hybrid-sa-pso50,chembis,2763.65988301,486134
1,Hybrid-sa-pso50,ex6_1_3,261.205262001,22414
2,Hybrid-sa-pso50,ex6_1_3,256.716944001,21420
3,Hybrid-sa-pso50,ex6_1_3,204.982206001,17396
4,Hybrid-sa-pso50,ex6_1_3,180.706589001,15348
5,Hybrid-sa-pso50,ex6_1_3,235.184137001,20408
1,Hybrid-sa-pso50,ex6_2_10,1067.93660901,330702
2,Hybrid-sa-pso50,ex6_2_10,1079.74971601,330702
3,Hybrid-sa-pso50,ex6_2_10,1072.88520301,330702
4,Hybrid-sa-pso50,ex6_2_10,1071.97418901,330702
5,Hybrid-sa-pso50,ex6_2_10,1089.97487501,330702
1,Hybrid-sa-pso50,ex8_5_1bis,31.6754310001,4354
2,Hybrid-sa-pso50,ex8_5_1bis,30.4131960001,4254
3,Hybrid-sa-pso50,ex8_5_1bis,32.6169200001,4438
4,Hybrid-sa-pso50,ex8_5_1bis,31.8975640001,4406
5,Hybrid-sa-pso50,ex8_5_1bis,32.8103380001,4464
1,Hybrid-sa-pso50,sambal,5483.46637401,483556
2,Hybrid-sa-pso50,sambal,5872.39119101,515946
3,Hybrid-sa-pso50,sambal,5441.22809301,493436
4,Hybrid-sa-pso50,sambal,5396.15339401,507642
5,Hybrid-sa-pso50,sambal,5347.85803801,519466
1,Hybrid-sa-pso50,ex6_2_6,110.054966001,59880
2,Hybrid-sa-pso50,ex6_2_6,116.305871001,60382
3,Hybrid-sa-pso50,ex6_2_6,110.732521001,60232
4,Hybrid-sa-pso50,ex6_2_6,115.274996001,60068
5,Hybrid-sa-pso50,ex6_2_6,116.521166001,59910
1,Hybrid-sa-pso50,ex6_2_8,54.0648790001,31776
2,Hybrid-sa-pso50,ex6_2_8,55.3807690001,31978
3,Hybrid-sa-pso50,ex6_2_8,58.0224880001,31740
4,Hybrid-sa-pso50,ex6_2_8,58.8635990001,31788
5,Hybrid-sa-pso50,ex6_2_8,58.8567690001,31684
1,Hybrid-sa-pso50,ex6_2_9,48.5071710001,21414
2,Hybrid-sa-pso50,ex6_2_9,48.4841280001,21414
3,Hybrid-sa-pso50,ex6_2_9,51.8786720001,21414
4,Hybrid-sa-pso50,ex6_2_9,52.5005940001,21414
5,Hybrid-sa-pso50,ex6_2_9,52.9347720001,21414
1,Hybrid-sa-pso50,ex6_2_12,17.8349200001,7806
2,Hybrid-sa-pso50,ex6_2_12,17.7392490001,7806
3,Hybrid-sa-pso50,ex6_2_12,17.7527260001,7806
4,Hybrid-sa-pso50,ex6_2_12,16.5835270001,7832
5,Hybrid-sa-pso50,ex6_2_12,16.0124970001,7832
1,Hybrid-sa-pso50,ex8_4_4bis,187.528779001,79558
2,Hybrid-sa-pso50,ex8_4_4bis,177.749560001,76452
3,Hybrid-sa-pso50,ex8_4_4bis,187.062495001,76374
4,Hybrid-sa-pso50,ex8_4_4bis,180.390089001,77970
5,Hybrid-sa-pso50,ex8_4_4bis,183.119345001,77562
1,Hybrid-sa-pso50,ex14_2_7,218.442388001,8146
2,Hybrid-sa-pso50,ex14_2_7,390.698185001,15152
3,Hybrid-sa-pso50,ex14_2_7,326.912745001,13100
4,Hybrid-sa-pso50,ex14_2_7,296.535642001,11822
5,Hybrid-sa-pso50,ex14_2_7,339.912330001,13360
1,Hybrid-sa-pso50,ex6_1_3bis,34.7585300001,11112
2,Hybrid-sa-pso50,ex6_1_3bis,34.5680270001,11112
3,Hybrid-sa-pso50,ex6_1_3bis,34.6459260001,11166
4,Hybrid-sa-pso50,ex6_1_3bis,34.7998310001,11166
