Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Particle-swarp-optimization50,chem,5146.05886301,933348
2,Particle-swarp-optimization50,chem,4929.64262001,906166
3,Particle-swarp-optimization50,chem,5010.54424501,904402
4,Particle-swarp-optimization50,chem,5111.09492001,904686
5,Particle-swarp-optimization50,chem,4942.87508501,902992
1,Particle-swarp-optimization50,chem-1,5094.59952201,933348
2,Particle-swarp-optimization50,chem-1,4946.61538801,906166
3,Particle-swarp-optimization50,chem-1,4936.34319501,904402
4,Particle-swarp-optimization50,chem-1,5188.31812301,904686
5,Particle-swarp-optimization50,chem-1,5208.89124701,902992
1,Particle-swarp-optimization50,chembis,2688.03688001,482722
2,Particle-swarp-optimization50,chembis,2675.26460501,482610
3,Particle-swarp-optimization50,chembis,2687.58901901,483582
4,Particle-swarp-optimization50,chembis,2671.93635801,482610
5,Particle-swarp-optimization50,chembis,2685.58818201,483582
1,Particle-swarp-optimization50,ex6_1_3,180.382913001,14962
2,Particle-swarp-optimization50,ex6_1_3,197.484129001,16454
3,Particle-swarp-optimization50,ex6_1_3,197.654476001,16210
4,Particle-swarp-optimization50,ex6_1_3,196.383497001,17920
5,Particle-swarp-optimization50,ex6_1_3,176.250481001,15156
1,Particle-swarp-optimization50,ex6_2_10,1125.38789701,330446
2,Particle-swarp-optimization50,ex6_2_10,1125.66127401,330446
3,Particle-swarp-optimization50,ex6_2_10,1129.23619901,330672
4,Particle-swarp-optimization50,ex6_2_10,1124.82505901,330672
5,Particle-swarp-optimization50,ex6_2_10,1120.47538601,330672
1,Particle-swarp-optimization50,ex8_5_1bis,25.7595500001,3926
2,Particle-swarp-optimization50,ex8_5_1bis,28.8113630001,4428
3,Particle-swarp-optimization50,ex8_5_1bis,25.9952490001,4000
4,Particle-swarp-optimization50,ex8_5_1bis,27.0934370001,4156
5,Particle-swarp-optimization50,ex8_5_1bis,29.1267910001,4518
1,Particle-swarp-optimization50,sambal,5638.55862001,505106
2,Particle-swarp-optimization50,sambal,5522.76243201,499606
3,Particle-swarp-optimization50,sambal,5765.99033101,527468
4,Particle-swarp-optimization50,sambal,5562.53307101,527468
5,Particle-swarp-optimization50,sambal,5465.71845001,516464
1,Particle-swarp-optimization50,ex6_2_6,112.260696001,60124
2,Particle-swarp-optimization50,ex6_2_6,115.692493001,60096
3,Particle-swarp-optimization50,ex6_2_6,112.568941001,60096
4,Particle-swarp-optimization50,ex6_2_6,112.111603001,59594
5,Particle-swarp-optimization50,ex6_2_6,113.512856001,60104
1,Particle-swarp-optimization50,ex6_2_8,56.2337850001,31884
2,Particle-swarp-optimization50,ex6_2_8,55.9781920001,31868
3,Particle-swarp-optimization50,ex6_2_8,55.9711540001,31696
4,Particle-swarp-optimization50,ex6_2_8,55.9576070001,31822
5,Particle-swarp-optimization50,ex6_2_8,55.9550950001,31822
1,Particle-swarp-optimization50,ex6_2_9,48.9306970001,21564
2,Particle-swarp-optimization50,ex6_2_9,48.9418180001,21564
3,Particle-swarp-optimization50,ex6_2_9,49.0724060001,21564
4,Particle-swarp-optimization50,ex6_2_9,49.0058740001,21488
5,Particle-swarp-optimization50,ex6_2_9,48.5331300001,21488
1,Particle-swarp-optimization50,ex6_2_12,16.2809420001,7814
2,Particle-swarp-optimization50,ex6_2_12,16.3838070001,7814
3,Particle-swarp-optimization50,ex6_2_12,16.4202550001,7814
4,Particle-swarp-optimization50,ex6_2_12,16.1884780001,7814
5,Particle-swarp-optimization50,ex6_2_12,16.3391630001,7814
1,Particle-swarp-optimization50,ex8_4_4bis,177.845119001,77252
2,Particle-swarp-optimization50,ex8_4_4bis,178.903446001,77348
3,Particle-swarp-optimization50,ex8_4_4bis,175.445073001,76906
4,Particle-swarp-optimization50,ex8_4_4bis,179.813623001,78666
5,Particle-swarp-optimization50,ex8_4_4bis,175.863337001,77348
1,Particle-swarp-optimization50,ex14_2_7,241.158363001,11996
2,Particle-swarp-optimization50,ex14_2_7,245.620411001,12260
3,Particle-swarp-optimization50,ex14_2_7,196.073857001,9760
4,Particle-swarp-optimization50,ex14_2_7,243.934437001,12248
5,Particle-swarp-optimization50,ex14_2_7,230.393821001,11930
1,Particle-swarp-optimization50,ex6_1_3bis,30.9925050001,11190
2,Particle-swarp-optimization50,ex6_1_3bis,31.0115210001,11190
3,Particle-swarp-optimization50,ex6_1_3bis,31.2721040001,11190
4,Particle-swarp-optimization50,ex6_1_3bis,31.1574770001,11190
5,Particle-swarp-optimization50,ex6_1_3bis,31.0275610001,11190
1,Particle-swarp-optimization50,ex2_1_9,20.0631530001,5368
2,Particle-swarp-optimization50,ex2_1_9,18.8897730001,5060
3,Particle-swarp-optimization50,ex2_1_9,18.7879710001,4980
4,Particle-swarp-optimization50,ex2_1_9,19.3945980001,5142
5,Particle-swarp-optimization50,ex2_1_9,21.2439990001,5520
1,Particle-swarp-optimization50,himmel16,45.1700140001,3236
2,Particle-swarp-optimization50,himmel16,55.6605520001,3900
3,Particle-swarp-optimization50,himmel16,55.5806020001,3924
4,Particle-swarp-optimization50,himmel16,43.2397320001,3096
5,Particle-swarp-optimization50,himmel16,53.8345600001,3772
1,Particle-swarp-optimization50,ex2_1_7,35.1017350001,2464
2,Particle-swarp-optimization50,ex2_1_7,33.8137470001,2356
3,Particle-swarp-optimization50,ex2_1_7,33.1260690001,2360
4,Particle-swarp-optimization50,ex2_1_7,36.0568670001,2560
5,Particle-swarp-optimization50,ex2_1_7,34.3450730001,2418
1,Particle-swarp-optimization50,ex2_1_8,28.8523680001,1848
2,Particle-swarp-optimization50,ex2_1_8,25.3214910001,1628
3,Particle-swarp-optimization50,ex2_1_8,21.0237580001,1338
4,Particle-swarp-optimization50,ex2_1_8,24.5865130001,1642
5,Particle-swarp-optimization50,ex2_1_8,24.9813060001,1658
1,Particle-swarp-optimization50,launch,12.3214300001,244
2,Particle-swarp-optimization50,launch,10.1799500001,188
3,Particle-swarp-optimization50,launch,9.15508700001,170
4,Particle-swarp-optimization50,launch,7.46046600001,136
5,Particle-swarp-optimization50,launch,9.32902300001,176
1,Particle-swarp-optimization50,"hs088
",523.761804001,1054
2,Particle-swarp-optimization50,"hs088
",515.121254001,1080
3,Particle-swarp-optimization50,"hs088
",479.446619001,1082
4,Particle-swarp-optimization50,"hs088
",495.907603001,1080
5,Particle-swarp-optimization50,"hs088
",481.778952001,1124
1,Particle-swarp-optimization50,"hs093
",1007.77430001,395654
2,Particle-swarp-optimization50,"hs093
",1139.98087701,456720
3,Particle-swarp-optimization50,"hs093
",1144.44548701,461702
4,Particle-swarp-optimization50,"hs093
",1134.62131701,457200
5,Particle-swarp-optimization50,"hs093
",1175.91409201,471186
1,Particle-swarp-optimization50,"hs102
",7968.07552601,955264
2,Particle-swarp-optimization50,"hs102
",8150.81973101,934884
3,Particle-swarp-optimization50,"hs102
",8476.46899901,988250
4,Particle-swarp-optimization50,"hs102
",7388.40940001,944196
5,Particle-swarp-optimization50,"hs102
",7088.85070001,927162
1,Particle-swarp-optimization50,"hs103
",1959.32383501,272768
2,Particle-swarp-optimization50,"hs103
",1760.29632701,240738
3,Particle-swarp-optimization50,"hs103
",1892.31729901,269228
