Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Particle-swarp-optimization70-5it,chem,4711.57169801,904270
2,Particle-swarp-optimization70-5it,chem,4688.39328301,909678
3,Particle-swarp-optimization70-5it,chem,4773.43167601,909906
4,Particle-swarp-optimization70-5it,chem,4816.94394201,897522
5,Particle-swarp-optimization70-5it,chem,4705.94386301,906940
1,Particle-swarp-optimization70-5it,chem-1,4695.56701601,904270
2,Particle-swarp-optimization70-5it,chem-1,4712.80121001,909678
3,Particle-swarp-optimization70-5it,chem-1,4729.70711901,909906
4,Particle-swarp-optimization70-5it,chem-1,4691.81680901,897522
5,Particle-swarp-optimization70-5it,chem-1,4977.40946701,906940
1,Particle-swarp-optimization70-5it,chembis,2528.11936301,480670
2,Particle-swarp-optimization70-5it,chembis,2533.27702101,482974
3,Particle-swarp-optimization70-5it,chembis,2532.71420901,484254
4,Particle-swarp-optimization70-5it,chembis,2534.02354801,482974
5,Particle-swarp-optimization70-5it,chembis,2520.87644201,482242
1,Particle-swarp-optimization70-5it,ex6_1_3,190.570445001,16350
2,Particle-swarp-optimization70-5it,ex6_1_3,195.839926001,18688
3,Particle-swarp-optimization70-5it,ex6_1_3,188.934138001,16772
4,Particle-swarp-optimization70-5it,ex6_1_3,181.028270001,15192
5,Particle-swarp-optimization70-5it,ex6_1_3,198.149010001,17000
1,Particle-swarp-optimization70-5it,ex6_2_10,1071.91243601,330818
2,Particle-swarp-optimization70-5it,ex6_2_10,1082.91647501,330818
4,Particle-swarp-optimization70-5it,ex6_2_10,1081.59695701,330818
5,Particle-swarp-optimization70-5it,ex6_2_10,1079.38554001,330886
1,Particle-swarp-optimization70-5it,ex8_5_1bis,27.3754510001,4292
2,Particle-swarp-optimization70-5it,ex8_5_1bis,22.1680150001,3748
3,Particle-swarp-optimization70-5it,ex8_5_1bis,26.9387980001,4338
4,Particle-swarp-optimization70-5it,ex8_5_1bis,23.1869900001,3892
5,Particle-swarp-optimization70-5it,ex8_5_1bis,27.1177440001,4366
1,Particle-swarp-optimization70-5it,sambal,5270.79103601,493406
2,Particle-swarp-optimization70-5it,sambal,5595.09419401,524104
3,Particle-swarp-optimization70-5it,sambal,5438.50774601,517566
4,Particle-swarp-optimization70-5it,sambal,5435.04174801,514144
5,Particle-swarp-optimization70-5it,sambal,5323.16612801,524104
1,Particle-swarp-optimization70-5it,ex6_2_6,109.821371001,60232
2,Particle-swarp-optimization70-5it,ex6_2_6,109.684447001,60000
3,Particle-swarp-optimization70-5it,ex6_2_6,109.656518001,60388
4,Particle-swarp-optimization70-5it,ex6_2_6,108.401958001,59930
5,Particle-swarp-optimization70-5it,ex6_2_6,108.434140001,59950
1,Particle-swarp-optimization70-5it,ex6_2_8,54.0586610001,31762
2,Particle-swarp-optimization70-5it,ex6_2_8,53.7946880001,31812
3,Particle-swarp-optimization70-5it,ex6_2_8,53.5460660001,31814
4,Particle-swarp-optimization70-5it,ex6_2_8,54.1546430001,31896
5,Particle-swarp-optimization70-5it,ex6_2_8,53.9913470001,31896
1,Particle-swarp-optimization70-5it,ex6_2_9,46.5845030001,21544
2,Particle-swarp-optimization70-5it,ex6_2_9,47.0336280001,21544
3,Particle-swarp-optimization70-5it,ex6_2_9,46.9576600001,21544
4,Particle-swarp-optimization70-5it,ex6_2_9,46.9664850001,21456
5,Particle-swarp-optimization70-5it,ex6_2_9,47.2151980001,21456
1,Particle-swarp-optimization70-5it,ex6_2_12,15.7573020001,7824
2,Particle-swarp-optimization70-5it,ex6_2_12,15.7219760001,7824
3,Particle-swarp-optimization70-5it,ex6_2_12,15.7221220001,7824
4,Particle-swarp-optimization70-5it,ex6_2_12,15.7084720001,7824
5,Particle-swarp-optimization70-5it,ex6_2_12,15.6796190001,7824
1,Particle-swarp-optimization70-5it,ex8_4_4bis,172.091355001,79022
2,Particle-swarp-optimization70-5it,ex8_4_4bis,168.902656001,77212
3,Particle-swarp-optimization70-5it,ex8_4_4bis,169.411267001,77634
4,Particle-swarp-optimization70-5it,ex8_4_4bis,168.285597001,76510
5,Particle-swarp-optimization70-5it,ex8_4_4bis,169.105631001,77308
1,Particle-swarp-optimization70-5it,ex14_2_7,253.028072001,13904
2,Particle-swarp-optimization70-5it,ex14_2_7,224.553450001,12598
3,Particle-swarp-optimization70-5it,ex14_2_7,269.242305001,14742
4,Particle-swarp-optimization70-5it,ex14_2_7,213.575258001,11864
5,Particle-swarp-optimization70-5it,ex14_2_7,207.879482001,11604
1,Particle-swarp-optimization70-5it,ex6_1_3bis,29.2741300001,11124
2,Particle-swarp-optimization70-5it,ex6_1_3bis,29.3554490001,11124
3,Particle-swarp-optimization70-5it,ex6_1_3bis,29.4668570001,11134
4,Particle-swarp-optimization70-5it,ex6_1_3bis,29.4034290001,11134
5,Particle-swarp-optimization70-5it,ex6_1_3bis,29.3801270001,11134
1,Particle-swarp-optimization70-5it,ex2_1_9,18.3856200001,5150
2,Particle-swarp-optimization70-5it,ex2_1_9,19.6490890001,5406
3,Particle-swarp-optimization70-5it,ex2_1_9,18.9510070001,5308
4,Particle-swarp-optimization70-5it,ex2_1_9,18.8726920001,5290
5,Particle-swarp-optimization70-5it,ex2_1_9,18.5281590001,5134
1,Particle-swarp-optimization70-5it,himmel16,54.5319110001,4018
2,Particle-swarp-optimization70-5it,himmel16,52.3332720001,3826
3,Particle-swarp-optimization70-5it,himmel16,52.4049570001,3864
4,Particle-swarp-optimization70-5it,himmel16,44.2408730001,3266
5,Particle-swarp-optimization70-5it,himmel16,53.8411690001,4044
