Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Simulated-annealing-joa,chem,2602.04938201,911960
2,Simulated-annealing-joa,chem,2569.30939301,915248
3,Simulated-annealing-joa,chem,2553.49823501,911278
4,Simulated-annealing-joa,chem,2590.61452101,917928
5,Simulated-annealing-joa,chem,2769.09243401,909476
1,Simulated-annealing-joa,chem-1,2745.88220001,911960
2,Simulated-annealing-joa,chem-1,2767.69003601,915248
3,Simulated-annealing-joa,chem-1,2759.12518201,911278
4,Simulated-annealing-joa,chem-1,2780.61373701,917928
5,Simulated-annealing-joa,chem-1,2738.29990701,909476
1,Simulated-annealing-joa,chembis,1382.42489901,486056
2,Simulated-annealing-joa,chembis,1413.42903001,490590
3,Simulated-annealing-joa,chembis,1394.70870301,483554
4,Simulated-annealing-joa,chembis,1384.19060601,482152
5,Simulated-annealing-joa,chembis,1315.77135601,490926
1,Simulated-annealing-joa,ex6_1_3,111.561783001,16952
2,Simulated-annealing-joa,ex6_1_3,113.167856001,17736
3,Simulated-annealing-joa,ex6_1_3,106.502388001,19082
4,Simulated-annealing-joa,ex6_1_3,122.667423001,19708
5,Simulated-annealing-joa,ex6_1_3,115.693942001,18436
1,Simulated-annealing-joa,ex6_2_10,619.914466001,331238
2,Simulated-annealing-joa,ex6_2_10,625.546739001,331238
3,Simulated-annealing-joa,ex6_2_10,627.041788001,331238
4,Simulated-annealing-joa,ex6_2_10,625.217354001,331238
5,Simulated-annealing-joa,ex6_2_10,621.021831001,330964
1,Simulated-annealing-joa,ex8_5_1bis,11.7103660001,4448
2,Simulated-annealing-joa,ex8_5_1bis,12.3965570001,4802
3,Simulated-annealing-joa,ex8_5_1bis,10.4392400001,3862
4,Simulated-annealing-joa,ex8_5_1bis,10.9953030001,4148
5,Simulated-annealing-joa,ex8_5_1bis,10.8791300001,4128
1,Simulated-annealing-joa,sambal,2982.12672101,478894
2,Simulated-annealing-joa,sambal,3490.71503601,559760
3,Simulated-annealing-joa,sambal,3031.93247701,480256
4,Simulated-annealing-joa,sambal,2952.26775301,469088
5,Simulated-annealing-joa,sambal,2914.97938501,457268
1,Simulated-annealing-joa,ex6_2_6,73.1092830001,60016
2,Simulated-annealing-joa,ex6_2_6,73.4745460001,60656
3,Simulated-annealing-joa,ex6_2_6,72.9652220001,60384
4,Simulated-annealing-joa,ex6_2_6,73.4640760001,60014
5,Simulated-annealing-joa,ex6_2_6,72.8453430001,60014
1,Simulated-annealing-joa,ex6_2_8,35.6510760001,31914
2,Simulated-annealing-joa,ex6_2_8,35.4999840001,31728
3,Simulated-annealing-joa,ex6_2_8,35.6057700001,31782
4,Simulated-annealing-joa,ex6_2_8,35.4792830001,31656
5,Simulated-annealing-joa,ex6_2_8,35.5989950001,31656
1,Simulated-annealing-joa,ex6_2_9,28.9462540001,21452
2,Simulated-annealing-joa,ex6_2_9,28.9212890001,21452
3,Simulated-annealing-joa,ex6_2_9,29.2227110001,21452
4,Simulated-annealing-joa,ex6_2_9,29.1465520001,21452
5,Simulated-annealing-joa,ex6_2_9,29.2080370001,21452
1,Simulated-annealing-joa,ex6_2_12,9.42631700001,7848
2,Simulated-annealing-joa,ex6_2_12,9.39831400001,7848
3,Simulated-annealing-joa,ex6_2_12,9.21968700001,7848
4,Simulated-annealing-joa,ex6_2_12,9.39073300001,7848
5,Simulated-annealing-joa,ex6_2_12,9.38320400001,7848
1,Simulated-annealing-joa,ex8_4_4bis,104.877319001,77992
2,Simulated-annealing-joa,ex8_4_4bis,102.346236001,76158
3,Simulated-annealing-joa,ex8_4_4bis,106.063200001,79812
4,Simulated-annealing-joa,ex8_4_4bis,103.315813001,76310
5,Simulated-annealing-joa,ex8_4_4bis,103.460020001,77114
1,Simulated-annealing-joa,ex14_2_7,65.2545020001,14464
2,Simulated-annealing-joa,ex14_2_7,63.7639380001,14206
3,Simulated-annealing-joa,ex14_2_7,56.0331050001,12716
4,Simulated-annealing-joa,ex14_2_7,44.9586550001,9852
5,Simulated-annealing-joa,ex14_2_7,56.4124220001,12614
1,Simulated-annealing-joa,ex6_1_3bis,17.1716100001,11224
2,Simulated-annealing-joa,ex6_1_3bis,16.8847160001,11234
3,Simulated-annealing-joa,ex6_1_3bis,17.0860620001,11224
4,Simulated-annealing-joa,ex6_1_3bis,17.0765780001,11224
5,Simulated-annealing-joa,ex6_1_3bis,17.0590720001,11224
1,Simulated-annealing-joa,ex2_1_9,28.9167400001,12110
2,Simulated-annealing-joa,ex2_1_9,16.7304790001,7334
3,Simulated-annealing-joa,ex2_1_9,24.9959200001,10558
4,Simulated-annealing-joa,ex2_1_9,32.2168120001,13552
